Customer ID,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
3475,,Male,Jacket,30.90446704,Maine,M,Burnt orange,Fall,4,Standard,No,0,Credit Card,
3698,21,Female,Backpack,31.58825894,,L,Turquoise,Winter,2,Express,No,1,Credit Card,Monthly
2756,31,Male,Leggings,24.2317038,Nevada,M,Terra cotta,Winter,4,Standard,No,0,Credit Card,
3340,,Male,Pajamas,33.9188342,Nebraska,M,Black,Winter,NA,Standard,No,2,Credit Card,Bi-Weekly
3391,38,Male,Sunglasses,36.54548676,Oregon,S,Aubergine,Summer,NA,Standard,No,0,Credit Card,
2599,26,Male,Leggings,23.5951394,Nevada,XL,Brown,Winter,NA,Standard,No,3,Credit Card,Quarterly
2591,43,Male,Dress,34.07901467,California,M,Terra cotta,Fall,5,Standard,No,0,Credit Card,
3650,29,Male,Shorts,23.7964387,Minnesota,M,Lavender,Summer,2,Express,No,0,Credit Card,
3353,25,Female,Jacket,31.59500547,Washington,M,Mauve,Fall,4,Standard,No,4,Credit Card,Quarterly
2477,39,Female,Shorts,32.37410365,Colorado,M,Fuchsia,Summer,NA,Standard,No,3,Credit Card,Bi-Weekly
2075,45,Female,Jacket,35.548978,Florida,M,Brown,Winter,NA,Standard,No,10,Credit Card,Monthly
3278,23,Male,Backpack,34.43791822,Texas,M,Brown,Winter,NA,Standard,No,2,Credit Card,Monthly
3341,27,Female,Handbag,29.43062018,Virginia,XL,Black,Summer,NA,Standard,No,2,Credit Card,Weekly
1722,32,Female,Handbag,34.15135207,Delaware,S,White,Summer,4,Standard,No,11,Credit Card,Monthly
3526,,Male,Shorts,31.96177063,Wyoming,L,Pale peach,Spring,NA,Express,No,8,Credit Card,Monthly
2087,22,Female,Pajamas,30.28112537,North Dakota,L,Aubergine,Winter,NA,Standard,No,3,Credit Card,Monthly
3590,41,Male,Sweater,24.12561238,New Hampshire,M,Burnt orange,Winter,NA,Standard,No,4,Credit Card,Quarterly
3638,45,Male,Handbag,23.9292492,Utah,L,Fuchsia,Spring,5,Standard,No,3,Credit Card,Quarterly
3738,34,Female,Running Shoes,33.05221582,Kentucky,S,Fuchsia,Spring,5,Standard,No,2,Credit Card,Quarterly
3443,,Female,Leggings,30.55029825,Michigan,M,Burnt orange,Winter,NA,Next Day Air,No,6,Credit Card,Quarterly
2586,35,Male,Hoodie,29.42289454,Wisconsin,L,Terra cotta,Fall,4,Express,No,2,Credit Card,Annually
3152,48,Male,Backpack,32.93220743,New Mexico,L,Burnt orange,Winter,2,Standard,No,0,Credit Card,
3512,,Female,Shorts,22.91476509,Mississippi,M,Pale peach,Summer,NA,Standard,No,8,Credit Card,Monthly
3068,48,Male,Backpack,24.64088262,,S,Black,Winter,NA,Standard,No,3,Credit Card,Quarterly
2280,31,Female,Sunglasses,31.62491259,West Virginia,L,Fuchsia,Spring,5,Express,No,1,Credit Card,Annually
1982,56,Female,Gloves,30.13387257,Michigan,L,Brick red,Winter,4,Standard,No,12,Credit Card,Annually
3854,30,Female,Hoodie,23.88498296,Tennessee,M,Terra cotta,Fall,NA,Next Day Air,No,16,Credit Card,Annually
2063,29,Male,Dress,35.44236182,South Carolina,L,Pale peach,Summer,NA,Standard,No,5,Credit Card,Monthly
2142,31,Female,Shorts,31.43709743,Kentucky,M,Ruby Red,Fall,NA,Standard,No,0,Credit Card,
1934,68,Male,Boots,36.56113785,,L,Aubergine,Winter,NA,Standard,No,13,Bank Transfer,Quarterly
2114,42,Female,Sunglasses,28.85216054,Virginia,M,Lavender,Spring,2,Standard,No,5,Credit Card,Monthly
2559,18,Female,Leggings,25.40534411,California,M,Aubergine,Winter,5,Standard,No,0,Credit Card,
2609,29,Male,Socks,26.47822967,Mississippi,L,Aubergine,Winter,4,Standard,No,13,Credit Card,Monthly
3408,41,Female,Scarf,23.79954147,Alabama,S,Mauve,Winter,NA,Standard,No,3,Credit Card,Quarterly
